,fid,0
0,0000e2398b12121a85166fed5fe2a3da,0.4878524
0,0001fe8dce14ce099aa6ca8ea5026ea7,0.025169404
0,00027f50019000accc492e5684efc818,0.7447928
1,00028c9da3573ec50db74b44310ae507,0.4723155
0,0003dc8130969abe688cadf5f14ea19f,0.35553694
0,000462baadff8a02f7f6fef84d242eed,0.028034998
0,0005e4c0263f52453438ddd0d55aef82,0.8147233
0,0006ac9aadbdbf2fed5e62b4e463daa1,0.16021353
0,0006d16543c1c4866dfa59fbbf7eedab,0.058228206
1,0007819a84e047a78fbbd620557104ad,0.27406594
1,0008720f6bfadf1aa4039a856eef3ecb,0.33141458
2,000a00e6939f803bbf4aaf51b39048d0,0.06068592
0,000b4096d7a0962245181f01e002b203,0.012286845
1,000d282c41fc76964cdc31b805c464a7,0.017441817
2,000d409d670038a868ed471a8334345d,0.009644615
1,000f15bf6a8f0b51126ece0ce93af65c,0.054014098
2,0010f818848455dfe997e69ee03518ef,0.028925471
1,00117b31bd107c43123c8a0180dc036c,0.17993094
3,0011d5f78c56a18dbb60a455c084ecca,0.029155033
2,0012028fdd971d39caa88c8d0136334a,0.49568558
2,001543427ff6300877e6a44e354588a6,0.18018861
3,0015734d9e317de07623fd04ddaef05a,0.00949059
0,00192fd48e421b51228e63845df46b9c,0.4410516
4,001abb71230ddab7ff7016ccfac80d16,0.9524065
1,001ac19de0eb93f585f74c2d207d9afc,0.5277251
2,001fbbcf7a772e68e7ca1accf93e807d,0.7901157
2,00204f1e3ee2102835b99b1cd372a8d5,0.45571342
3,0021c7f072ad0e8068ab8c611700bfe1,0.5816444
1,0023276a212ce8efa247fc1bca44b853,0.65291816
4,0023a488eab672009fd8a97aa2a930a8,0.00893883
1,00245e6ba06c7142c6c8e9b60b0b4afc,0.7946985
2,00245e8c6aa3db195be49c04ecacb551,0.48476732
5,00272b94de0e8e2af3cd67422388ddba,0.55291677
3,0029bf6bbac4cb8ef325828408ca8721,0.22831012
3,002a80d574a26583900e0b1e199c4ef8,0.022282152
2,002d78cefc2397e89c416fb1938024d8,0.35533902
3,002dda05885ccc7a9872aa99adb6b153,0.30948156
3,002e7d021896a755c1f77b331e80b5c1,0.2948738
1,00300d8402fbd9d8a74af5478b1326d6,0.020648027
4,0033e984df54bbaa1ead7d66fbad38f0,0.33154866
4,0034191f1ba86a77526df5f2a7188a2c,0.45320877
4,00391785ae2604198ff96170941d7f65,0.52039385
3,003d65f69dc2790ed89f88702cef2699,0.90722436
4,00407cec5976cfdfd06e2597ebbaa8d2,0.07835446
5,004225ae888890c798f8cbdbb36b75d5,0.037065163
6,00450228a40e22a5dbdf455d95183f47,0.017009234
7,00467b962c09b4c1b592619ae62d99cf,0.1687269
8,00470f8f35183b45d26e8effc80a8330,0.021781974
5,004718956f7ca07fbbc7c86d8c1cb76b,0.91375625
9,004749a2597c0155e436662ee6ba7892,0.016796008
4,004904cdf0c893c69cc79a0cad7bd999,0.3243836
5,004a72a5de1a5df5d6609b7462c75ed5,0.23348024
5,004a7cde3be77397eb091812b3f4f7ca,0.15268032
5,004b141ca2ca4ad89f97eef26fb10fef,0.4912088
5,004bbd02aa01aa1cbea7c207174d412b,0.017145108
3,004e57a598c4e1f392e62d2ce7cac527,0.007472436
10,004f7386973aeaa39b0c01cacc151289,0.14486428
6,0050d3f93604d2bc3006b14b78065453,0.25223872
6,005426fcb3b3277882745efefd6dfbd7,0.039899737
4,00548cf8a412e19debe1eff9897091e7,0.08016096
6,00588b641ce4b0c1ae31a1c66cffb440,0.6906688
7,0058fec008d105f7948a116e9f86dec8,0.10395342
11,005abdfb0f6588fcb04c03b6b94becbe,0.32208657
7,00606292a9ae11820c171ac20f5d74df,0.2341322
8,0062786a8d4f6e20d045e935b5c2e758,0.55491096
5,006437b9566ddbb66183d92a8ee97c59,0.22807759
9,0064453248c97755a19c4f7a42abd596,0.029874064
6,00646177933e701e0201e75d04f94868,0.77983487
7,00661fcff2bfdda6cd364fe406171789,0.7381697
2,00663a98933f071da2b001436c9c5348,0.042437453
12,00675dc5a80eac606c89e61a486f0761,0.54126865
6,0067d773966f2fcb3c982e8378fd08ac,0.052625276
10,0068c52791abcce56eb00d5266cba322,0.035235655
6,0068f88387909fe6f1f3caea59bc423d,0.5790713
8,006aa6cf6a505c4143612f9fea3efc2d,0.12075133
13,006bb7a6bbd825209b2d59d42026eb91,0.85837317
7,006c27781f4d8e826102151c25e16b0f,0.68674046
6,006d56a4a7250086410987a1d9698c42,0.4757978
8,006ff22c6e01a5888dcb964c32d82512,0.034983203
14,00701df6e993201018c47e01aa3bca42,0.49144328
9,007101f14bedb459e1e9316caa2c1ab3,0.061579965
3,00712da670cf03ff281a9ec11ceed2de,0.027739916
9,0071303ea5067af92f0569a0e8214f24,0.18102074
4,00742407fafe30ebc58f74e6561d77ab,0.058397207
