fid,duration
00008c73ee43c15b16c26b26398c1577,486146
0000e2398b12121a85166fed5fe2a3da,373336
0001fe8dce14ce099aa6ca8ea5026ea7,457939
00027f50019000accc492e5684efc818,314667
00028c9da3573ec50db74b44310ae507,484109
0002ded3a0b54f2ffdab0ca77a5ce2b6,195188
0003dc8130969abe688cadf5f14ea19f,460297
000462baadff8a02f7f6fef84d242eed,468723
00050a9df8e13f6ab5a3d3b3e2fc6a86,504981
0005e4c0263f52453438ddd0d55aef82,493050
0006ac9aadbdbf2fed5e62b4e463daa1,496672
0006d16543c1c4866dfa59fbbf7eedab,476789
0007819a84e047a78fbbd620557104ad,493271
0008720f6bfadf1aa4039a856eef3ecb,476658
000a00e6939f803bbf4aaf51b39048d0,493192
000b1aa62b95e448784b8b341de46c64,372164
000b4096d7a0962245181f01e002b203,469897
000d282c41fc76964cdc31b805c464a7,470827
000d409d670038a868ed471a8334345d,448885
000d9f96b5eddf04a3b7a37cb95d0a00,474161
000f15bf6a8f0b51126ece0ce93af65c,479302
0010f818848455dfe997e69ee03518ef,437653
00111635044e630cb47c519a6ab7e906,436845
00117b31bd107c43123c8a0180dc036c,405090
0011d5f78c56a18dbb60a455c084ecca,480220
0012028fdd971d39caa88c8d0136334a,346949
00132b31a466e3e2a71ef5235e7d1305,498469
0014f376f7468a7e0c2a53634c59ac41,454629
001543427ff6300877e6a44e354588a6,463954
0015734d9e317de07623fd04ddaef05a,514176
00192fd48e421b51228e63845df46b9c,477713
0019e9f595600ccdad3b18fd533b8db2,360612
001abb71230ddab7ff7016ccfac80d16,508468
001ac19de0eb93f585f74c2d207d9afc,418236
001e99215de891f05b5477909bc7f881,447843
001f3cc1a52d5f5f1bc00a695b0d76d6,335950
001fbbcf7a772e68e7ca1accf93e807d,309209
001fdd36a279feac528ff5a90b95abfe,451050
00204f1e3ee2102835b99b1cd372a8d5,512860
0020a74237a56d01edf2533a2b500b56,501557
0021c7f072ad0e8068ab8c611700bfe1,443512
00222cfb0a608b5c82b6146d8ab4b5e3,266833
0023276a212ce8efa247fc1bca44b853,389797
0023a488eab672009fd8a97aa2a930a8,512367
00245e6ba06c7142c6c8e9b60b0b4afc,46869
00245e8c6aa3db195be49c04ecacb551,337393
00272b94de0e8e2af3cd67422388ddba,453047
002790d7b247bed1ee6f8cb22666de00,462226
0029bf6bbac4cb8ef325828408ca8721,484069
002a80d574a26583900e0b1e199c4ef8,511198
002d78cefc2397e89c416fb1938024d8,356676
002dda05885ccc7a9872aa99adb6b153,475428
002e1ecd5f949e85232c299d5edf2a43,338201
002e3abbb4493e8ed5c3580622fea049,358124
002e7d021896a755c1f77b331e80b5c1,399396
00300d8402fbd9d8a74af5478b1326d6,499179
0033d1a13c7f83237452a34b6d71b47c,125462
0033e984df54bbaa1ead7d66fbad38f0,455876
0034191f1ba86a77526df5f2a7188a2c,511646
0034545800bd3cd3c7348e6bfd3c8699,486882
003478d0d29d8a342c495f3175d45ddc,518140
00348cab07252551b7567418dd282295,342504
00351550e94ffd37fded54967678cde2,434434
00378119167b2a222cfa2ddbd0b71dae,298041
0037b95a0d0dd6a905ffd53cbc6dce84,434160
00387641d2371ec45e724630a0f53e0b,470752
0038782816483995071377d78c2104ad,262991
00391785ae2604198ff96170941d7f65,282455
003af692f5aa17e3af3b363759fbd4bd,508495
003b12316f62a64e03d27782e1ff0fc2,459812
003b861864af16ba73bcb32377cbe57d,507888
003c43d809dddce82d156c8878692b16,204349
003cca4998c26548b62a6199cd8403e0,210941
003d65f69dc2790ed89f88702cef2699,259947
003de525b69220746a04f294826a6264,439232
00407cec5976cfdfd06e2597ebbaa8d2,467367
0041849cbb258f2ac9ee0f26e24f6980,487687
004225ae888890c798f8cbdbb36b75d5,464499
00450228a40e22a5dbdf455d95183f47,506392
00467b962c09b4c1b592619ae62d99cf,501144
0046caa3a94b6aa074a220d05e463ee3,1911
00470f8f35183b45d26e8effc80a8330,514651
004718956f7ca07fbbc7c86d8c1cb76b,7119
004749a2597c0155e436662ee6ba7892,449548
004904cdf0c893c69cc79a0cad7bd999,478684
004a72a5de1a5df5d6609b7462c75ed5,482938
004a7cde3be77397eb091812b3f4f7ca,432124
004b141ca2ca4ad89f97eef26fb10fef,78157
004bbd02aa01aa1cbea7c207174d412b,452524
004be2d68423c9df05df60def9601c0a,465660
004e57a598c4e1f392e62d2ce7cac527,394002
004e6df3251b8b3a6721d3bfdc722b83,515802
004f7386973aeaa39b0c01cacc151289,515933
0050d3f93604d2bc3006b14b78065453,202872
0051ba271b228ee034241eae77351c14,11111
005426fcb3b3277882745efefd6dfbd7,469086
00548cf8a412e19debe1eff9897091e7,482901
0054b1aa0a8f293e267b92cc19b9c7d0,485075
0054c7a35bbfeb9f04468bf6d8bc4fbd,515905
005547096df3b6063ad421a0078f5a6b,439411
00588b641ce4b0c1ae31a1c66cffb440,456315
0058fec008d105f7948a116e9f86dec8,467196
005abdfb0f6588fcb04c03b6b94becbe,309576
005d614a68647dc832e5ac9519e160ad,478405
00606292a9ae11820c171ac20f5d74df,184353
0060de2ec740feb07578f06209fc30a6,516330
00618675fc0a4990414bf18bf9f1a3c9,442491
0062786a8d4f6e20d045e935b5c2e758,153492
006437b9566ddbb66183d92a8ee97c59,460053
0064453248c97755a19c4f7a42abd596,480414
00646177933e701e0201e75d04f94868,164830
00661e20c1756ee788d2bacbc4ca344d,432336
00661fcff2bfdda6cd364fe406171789,466465
00663a98933f071da2b001436c9c5348,440040
00675dc5a80eac606c89e61a486f0761,271366
0067d773966f2fcb3c982e8378fd08ac,443671
0068c52791abcce56eb00d5266cba322,482362
0068f88387909fe6f1f3caea59bc423d,370853
006aa6cf6a505c4143612f9fea3efc2d,156028
006bb7a6bbd825209b2d59d42026eb91,513014
006c27781f4d8e826102151c25e16b0f,384120
006c4b1697c64abd78867e2fad240010,500188
006c867958ac341487d1a48a1b9cfcc7,452029
006c98ba7a0607c638686632b9a734f7,436065
006cd1f3b7dcb935902caeefaba73987,464324
006d56a4a7250086410987a1d9698c42,498873
006ff22c6e01a5888dcb964c32d82512,448291
00701df6e993201018c47e01aa3bca42,438109
007101f14bedb459e1e9316caa2c1ab3,499526
00712da670cf03ff281a9ec11ceed2de,441329
0071303ea5067af92f0569a0e8214f24,485310
007353db5f0388399e67f87388f43eae,515389
0073c83f66507d477a70b2bd6bafa684,406292
00742407fafe30ebc58f74e6561d77ab,401006
0074a9c94457a876b84e997cd29e561f,452598
0074bb919eec0bef189a986b1fc0c257,454601
0074de311feb04bea93a705972a6fa22,491749
0075156e0acffc58ab554feaff030dd6,451636
00779c47016f882bbf960bff35ce8c49,516568
0077b7caff1c33ee8b7ba9d7170be1b1,449052
0079802d502f788a43a873e30a06b416,66340
007a1e42d41b399e9641cc3b881dde8f,470698
007a5a1d4e20f913bacc90df53d50627,448761
007cb2b19304d60879ea9f794ddc8375,505605
007e9cec2b35aade974b6ded58ebf63d,509782
007f3d727832afac6e4f71a198af259e,453714
00804b757a96c11f0de508d6149649dd,441734
0082081ec55d48303c9ef712cccd2eb5,52840
00822c63c072e4fa725aa2ca4fb2626a,318943
00825bf2d1faf1745e4c70a51500578e,84765
008313de97b469d30567a58b1b3577b9,488194
